pincode,street_name,house_number,results
10247 Berlin,Zellestraße,15,"24.02.2025 ES: Laut check24 in Zellestraße 15 GF von 1und1, telekom.(verfügbar ab Juli , verfügbar ab Juli )"
10247 Berlin,Dolziger Straße,48,"24.02.2025 ES: Laut check24 in Dolziger Straße 48 GF von 1und1, telekom.(verfügbar ab Juli , verfügbar ab Juli )"
10247 Berlin,Proskauer Straße,18,"24.02.2025 ES: Laut check24 in Proskauer Straße 18 GF von 1und1, telekom.(verfügbar ab Juli , verfügbar ab Juli )"
10245 Berlin,Seumestraße,30,24.02.2025 ES: Laut check24 in Seumestraße 30 kein GF buchbar
10245 Berlin,Wühlischstraße,42,24.02.2025 ES: Laut check24 in Wühlischstraße 42 GF von 1000 Mbit/s Tarif pyur.() buchbar (Kabel oder GF?)
10559 Berlin,Birkenstraße,7,"24.02.2025 ES: Laut check24 in Birkenstraße 7 GF von vodafone, 1und1, telekom.(verfügbar ab April , verfügbar ab April , verfügbar ab April )"
10247 Berlin,Voigtstraße,13,"24.02.2025 ES: Laut check24 in Voigtstraße 13 GF von vodafone, 1und1, telekom.(verfügbar ab März , verfügbar ab März , verfügbar ab März )"
12163 Berlin,Markelstraße,58,24.02.2025 ES: Laut check24 in Markelstraße 58 GF von telekom.(verfügbar ab September )
12053 Berlin,Erlanger Straße,8,24.02.2025 ES: Laut check24 in Erlanger Straße 8 kein GF buchbar
10585 Berlin,Otto-Suhr-Allee,65A,24.02.2025 ES: Laut check24 in Otto-Suhr-Allee 65A kein GF buchbar
10559 Berlin,Quitzowstraße,116,24.02.2025 ES: Laut check24 in Quitzowstraße 116 kein GF buchbar
13587 Berlin,Chamissostraße,1,24.02.2025 ES: Laut check24 in Chamissostraße 1 kein GF buchbar
13587 Berlin,Streitstraße,25,24.02.2025 ES: Laut check24 in Streitstraße 25 kein GF buchbar
14057 Berlin,Holtzendorffstraße,18,24.02.2025 ES: Laut check24 in Holtzendorffstraße 18 kein GF buchbar
14057 Berlin,Leonhardtstraße,14,24.02.2025 ES: Laut check24 in Leonhardtstraße 14 kein GF buchbar
10247 Berlin,Voigtstraße,12,"24.02.2025 ES: Laut check24 in Voigtstraße 12 GF von 1und1, telekom.(verfügbar ab Juli , verfügbar ab Juli )"
10247 Berlin,Bänschstraße,75,"24.02.2025 ES: Laut check24 in Bänschstraße 75 GF von 1und1, telekom.(verfügbar ab Juli , verfügbar ab Juli )"
14057 Berlin,Steifensandstraße,9,"24.02.2025 ES: Laut check24 in Steifensandstraße 9 GF von 1und1, telekom.(verfügbar ab Juli , verfügbar ab Juli )"
12159 Berlin,Sponholzstraße,14A,"24.02.2025 ES: Laut check24 in Sponholzstraße 14A GF von 1und1, telekom.(verfügbar ab Juli , verfügbar ab Juli )"
12159 Berlin,Sponholzstraße,14,"24.02.2025 ES: Laut check24 in Sponholzstraße 14 GF von 1und1, telekom.(verfügbar ab Juli , verfügbar ab Juli )"
12161 Berlin,Schwalbacher Straße,14,"24.02.2025 ES: Laut check24 in Schwalbacher Straße 14 GF von vodafone, 1und1, telekom.(verfügbar ab April , verfügbar ab April , verfügbar ab April )"
12045 Berlin,Weichselplatz,6,"24.02.2025 ES: Laut check24 in Weichselplatz 6 GF von vodafone, telekom.(verfügbar ab Juli , verfügbar ab Juli )"
12045 Berlin,Weichselplatz,5,24.02.2025 ES: Laut check24 in Weichselplatz 5 GF von telekom.(verfügbar ab Juli )
10717 Berlin,Güntzelstraße,30,"24.02.2025 ES: Laut check24 in Güntzelstraße 30 GF von 1und1, telekom.(verfügbar ab Juni , verfügbar ab Juni )"
10711 Berlin,Joachim-Friedrich-Straße,25,"24.02.2025 ES: Laut check24 in Joachim-Friedrich-Straße 25 GF von vodafone, 1und1, telekom.(verfügbar ab März , verfügbar ab März , verfügbar ab März )"
10551 Berlin,Quitzowstraße,106,"24.02.2025 ES: Laut check24 in Quitzowstraße 106 GF von vodafone, 1und1, telekom.(verfügbar ab März , verfügbar ab März , verfügbar ab März )"
12053 Berlin,Jonasstraße,37,"24.02.2025 ES: Laut check24 in Jonasstraße 37 GF von 1und1, telekom.(verfügbar ab Juli , verfügbar ab Juli )"
12047 Berlin,Pflügerstraße,80,24.02.2025 ES: Laut check24 in Pflügerstraße 80 GF von 1000 Mbit/s Tarif pyur.() buchbar (Kabel oder GF?)
12047 Berlin,Pflügerstraße,79,24.02.2025 ES: Laut check24 in Pflügerstraße 79 GF von 1000 Mbit/s Tarif pyur.() buchbar (Kabel oder GF?)
12047 Berlin,Pflügerstraße,79A,24.02.2025 ES: Laut check24 in Pflügerstraße 79A kein GF buchbar
12163 Berlin,Markelstraße,41A,24.02.2025 ES: Laut check24 in Markelstraße 41A GF von telekom.(verfügbar ab September )
12163 Berlin,Markelstraße,41,24.02.2025 ES: Laut check24 in Markelstraße 41 GF von telekom.(verfügbar ab September )
10823 Berlin,Eisenacher Straße,66,"24.02.2025 ES: Laut check24 in Eisenacher Straße 66 GF von vodafone, 1und1, telekom.(verfügbar ab Mai , verfügbar ab Mai , verfügbar ab Mai )"
10625 Berlin,Schlüterstraße,4,24.02.2025 ES: Laut check24 in Schlüterstraße 4 GF von 1000 Mbit/s Tarif pyur.() buchbar (Kabel oder GF?)
10713 Berlin,Gieselerstraße,25,24.02.2025 ES: Laut check24 in Gieselerstraße 25 GF von telekom.(verfügbar ab Juni )
14057 Berlin,Kuno-Fischer-Straße,2,"24.02.2025 ES: Laut check24 in Kuno-Fischer-Straße 2 GF von 1und1, telekom.(verfügbar ab Juli , verfügbar ab Juli )"
10627 Berlin,Kantstraße,52,24.02.2025 ES: Laut check24 in Kantstraße 52 GF von 1000 Mbit/s Tarif pyur.() buchbar (Kabel oder GF?)
10627 Berlin,Krumme Straße,45,24.02.2025 ES: Laut check24 in Krumme Straße 45 GF von 1000 Mbit/s Tarif pyur.() buchbar (Kabel oder GF?)
10719 Berlin,Kurfürstendamm,217,24.02.2025 ES: Laut check24 in Kurfürstendamm 217 GF von telekom.(verfügbar ab Februar 2026 )
10719 Berlin,Fasanenstraße,74,24.02.2025 ES: Laut check24 in Fasanenstraße 74 GF von telekom.(verfügbar ab Februar 2026 )
10825 Berlin,Freiherr-vom-Stein-Straße,8,24.02.2025 ES: Laut check24 in Freiherr-vom-Stein-Straße 8 kein GF buchbar
10825 Berlin,Freiherr-vom-Stein-Straße,9,24.02.2025 ES: Laut check24 in Freiherr-vom-Stein-Straße 9 kein GF buchbar
10785 Berlin,Kurfürstenstraße,34,24.02.2025 ES: Laut check24 in Kurfürstenstraße 34 kein GF buchbar
14057 Berlin,Dernburgstraße,4,24.02.2025 ES: Laut check24 in Dernburgstraße 4 kein GF buchbar
14057 Berlin,Dernburgstraße,2,24.02.2025 ES: Laut check24 in Dernburgstraße 2 kein GF buchbar
14197 Berlin,Homburger Straße,49,24.02.2025 ES: Laut check24 in Homburger Straße 49 kein GF buchbar
14197 Berlin,Homburger Straße,49A,24.02.2025 ES: Laut check24 in Homburger Straße 49A kein GF buchbar
14197 Berlin,Homburger Straße,51,24.02.2025 ES: Laut check24 in Homburger Straße 51 kein GF buchbar
14197 Berlin,Homburger Straße,53,24.02.2025 ES: Laut check24 in Homburger Straße 53 kein GF buchbar
14197 Berlin,Schlangenbader Straße,84,24.02.2025 ES: Laut check24 in Schlangenbader Straße 84 kein GF buchbar
14197 Berlin,Binger Straße,16,24.02.2025 ES: Laut check24 in Binger Straße 16 kein GF buchbar
10781 Berlin,Luitpoldstraße,7,24.02.2025 ES: Laut check24 in Luitpoldstraße 7 GF von 1000 Mbit/s Tarif pyur.() buchbar (Kabel oder GF?)
10781 Berlin,Eisenacher Straße,105,24.02.2025 ES: Laut check24 in Eisenacher Straße 105 GF von 1000 Mbit/s Tarif pyur.() buchbar (Kabel oder GF?)
10587 Berlin,Cauerstraße,34,"24.02.2025 ES: Laut check24 in Cauerstraße 34 GF von vodafone, 1und1, telekom.(verfügbar ab März , verfügbar ab März , verfügbar ab März )"
10587 Berlin,Wintersteinstraße,13,"24.02.2025 ES: Laut check24 in Wintersteinstraße 13 GF von 1und1, telekom.(verfügbar ab Juli , verfügbar ab Juli )"
10587 Berlin,Wintersteinstraße,11,"24.02.2025 ES: Laut check24 in Wintersteinstraße 11 GF von 1und1, telekom.(verfügbar ab Juli , verfügbar ab Juli )"
10587 Berlin,Galvanistraße,15,"24.02.2025 ES: Laut check24 in Galvanistraße 15 GF von vodafone, 1und1, telekom.(verfügbar ab März , verfügbar ab März , verfügbar ab März )"
10585 Berlin,Haubachstraße,4,"24.02.2025 ES: Laut check24 in Haubachstraße 4 GF von 1und1, telekom.(verfügbar ab Juli , verfügbar ab Juli )"
10585 Berlin,Wilmersdorfer Straße,161,"24.02.2025 ES: Laut check24 in Wilmersdorfer Straße 161 GF von vodafone, 1und1, telekom.(verfügbar ab Mai , verfügbar ab Mai , verfügbar ab Mai )"
10711 Berlin,Storkwinkel,12,24.02.2025 ES: Laut check24 in Storkwinkel 12 kein GF buchbar
10715 Berlin,Detmolder Straße,9,24.02.2025 ES: Laut check24 in Detmolder Straße 9 kein GF buchbar
10715 Berlin,Berliner Straße,143,24.02.2025 ES: Laut check24 in Berliner Straße 143 GF von 1000 Mbit/s Tarif pyur.() buchbar (Kabel oder GF?)
10779 Berlin,Prager Straße,2A,24.02.2025 ES: Laut check24 in Prager Straße 2A kein GF buchbar
10779 Berlin,Prager Straße,2,24.02.2025 ES: Laut check24 in Prager Straße 2 kein GF buchbar
12047 Berlin,Weserstraße,6,24.02.2025 ES: Laut check24 in Weserstraße 6 kein GF buchbar
12161 Berlin,Dickhardtstraße,38,"24.02.2025 ES: Laut check24 in Dickhardtstraße 38 GF von vodafone, telekom.(verfügbar ab Juli , verfügbar ab Juli )"
13587 Berlin,Goltzstraße,66,"24.02.2025 ES: Laut check24 in Goltzstraße 66 GF von 1und1, telekom.(verfügbar ab Juni , verfügbar ab Juni )"
10711 Berlin,Seesener Straße,28,"24.02.2025 ES: Laut check24 in Seesener Straße 28 GF von 1und1, telekom.(verfügbar ab Juli , verfügbar ab Juli )"
10585 Berlin,Wilmersdorfer Straße,163,"24.02.2025 ES: Laut check24 in Wilmersdorfer Straße 163 GF von 1und1, telekom.(verfügbar ab Juli , verfügbar ab Juli )"
10627 Berlin,Pestalozzistraße,76,24.02.2025 ES: Laut check24 in Pestalozzistraße 76 GF von 1000 Mbit/s Tarif pyur.() buchbar (Kabel oder GF?)
10555 Berlin,Essener Straße,9,"24.02.2025 ES: Laut check24 in Essener Straße 9 GF von vodafone, 1und1, telekom.(verfügbar ab März , verfügbar ab März , verfügbar ab März )"
13353 Berlin,Müllerstraße,163B,"24.02.2025 ES: Laut check24 in Müllerstraße 163B GF von 1und1, telekom.(verfügbar ab Juli , verfügbar ab Juli )"
14057 Berlin,Suarezstraße,13,"24.02.2025 ES: Laut check24 in Suarezstraße 13 GF von 1und1, telekom.(verfügbar ab Juli , verfügbar ab Juli )"
10551 Berlin,Turmstraße,70,24.02.2025 ES: Laut check24 in Turmstraße 70 kein GF buchbar
10555 Berlin,Zwinglistraße,11,24.02.2025 ES: Laut check24 in Zwinglistraße 11 kein GF buchbar
10245 Berlin,Wühlischstraße,22,24.02.2025 ES: Laut check24 in Wühlischstraße 22 kein GF buchbar
10245 Berlin,Gärtnerstraße,5,24.02.2025 ES: Laut check24 in Gärtnerstraße 5 kein GF buchbar
10627 Berlin,Kantstraße,109,24.02.2025 ES: Laut check24 in Kantstraße 109 kein GF buchbar
10627 Berlin,Pestalozzistraße,34,24.02.2025 ES: Laut check24 in Pestalozzistraße 34 kein GF buchbar
10825 Berlin,Koburger Straße,16,24.02.2025 ES: Laut check24 in Koburger Straße 16 kein GF buchbar
10825 Berlin,Heylstraße,1,"24.02.2025 ES: Laut check24 in Heylstraße 1 GF von vodafone, 1und1, telekom.(verfügbar ab März , verfügbar ab März , verfügbar ab März )"
10551 Berlin,Bredowstraße,41,"24.02.2025 ES: Laut check24 in Bredowstraße 41 GF von vodafone, 1und1, telekom.(verfügbar ab März , verfügbar ab März , verfügbar ab März )"
10555 Berlin,Krefelder Straße,8,"24.02.2025 ES: Laut check24 in Krefelder Straße 8 GF von vodafone, 1und1, telekom.(verfügbar ab März , verfügbar ab März , verfügbar ab März )"
10585 Berlin,Wulfsheinstraße,5,"24.02.2025 ES: Laut check24 in Wulfsheinstraße 5 GF von vodafone, 1und1, telekom.(verfügbar ab März , verfügbar ab März , verfügbar ab März )"
10247 Berlin,Kinzigstraße,30,24.02.2025 ES: Laut check24 in Kinzigstraße 30 GF von 1000 Mbit/s Tarif pyur.() buchbar (Kabel oder GF?)
12159 Berlin,Fregestraße,23A,"24.02.2025 ES: Laut check24 in Fregestraße 23A GF von 1und1, telekom.(verfügbar ab Juli , verfügbar ab Juli )"
12159 Berlin,Fregestraße,23,24.02.2025 ES: Laut check24 in Fregestraße 23 GF von telekom.(verfügbar ab Juli )
12043 Berlin,Donaustraße,9,24.02.2025 ES: Laut check24 in Donaustraße 9 kein GF buchbar
10623 Berlin,Grolmanstraße,18,24.02.2025 ES: Laut check24 in Grolmanstraße 18 kein GF buchbar
12159 Berlin,Hähnelstraße,9,"24.02.2025 ES: Laut check24 in Hähnelstraße 9 GF von 1und1, telekom.(verfügbar ab Juli , verfügbar ab Juli )"
12159 Berlin,Elsastraße,3,"24.02.2025 ES: Laut check24 in Elsastraße 3 GF von 1und1, telekom.(verfügbar ab Juli , verfügbar ab Juli )"
12159 Berlin,Cosimaplatz,1,"24.02.2025 ES: Laut check24 in Cosimaplatz 1 GF von 1und1, telekom.(verfügbar ab Juli , verfügbar ab Juli )"
12161 Berlin,Bachestraße,3,"24.02.2025 ES: Laut check24 in Bachestraße 3 GF von vodafone, 1und1, telekom.(verfügbar ab März , verfügbar ab März , verfügbar ab März )"
12159 Berlin,Bennigsenstraße,26,"24.02.2025 ES: Laut check24 in Bennigsenstraße 26 GF von 1und1, telekom.(verfügbar ab Juli , verfügbar ab Juli )"
12161 Berlin,Wilhelmshöher Straße,4,"24.02.2025 ES: Laut check24 in Wilhelmshöher Straße 4 GF von vodafone, 1und1, telekom.(verfügbar ab März , verfügbar ab März , verfügbar ab März )"
10717 Berlin,Gasteiner Straße,3,"24.02.2025 ES: Laut check24 in Gasteiner Straße 3 GF von 1und1, telekom.(verfügbar ab Juni , verfügbar ab Juni )"
10777 Berlin,Ansbacher Straße,72,24.02.2025 ES: Laut check24 in Ansbacher Straße 72 kein GF buchbar
10117 Berlin,Oranienburger Straße,27,24.02.2025 ES: Laut check24 in Oranienburger Straße 27 kein GF buchbar
10823 Berlin,Meininger Straße,11,"24.02.2025 ES: Laut check24 in Meininger Straße 11 GF von 1und1, telekom.(verfügbar ab Juli , verfügbar ab Juli )"
13353 Berlin,Sparrstraße,25,"24.02.2025 ES: Laut check24 in Sparrstraße 25 GF von vodafone, 1und1, telekom.(verfügbar ab März , verfügbar ab März , verfügbar ab März )"
12047 Berlin,Friedelstraße,41,24.02.2025 ES: Laut check24 in Friedelstraße 41 kein GF buchbar
12047 Berlin,Pflügerstraße,70,24.02.2025 ES: Laut check24 in Pflügerstraße 70 kein GF buchbar
12047 Berlin,Pflügerstraße,71,24.02.2025 ES: Laut check24 in Pflügerstraße 71 kein GF buchbar
10781 Berlin,Schwäbische Straße,3,24.02.2025 ES: Laut check24 in Schwäbische Straße 3 kein GF buchbar
12161 Berlin,Rotdornstraße,5,24.02.2025 ES: Laut check24 in Rotdornstraße 5 kein GF buchbar
12159 Berlin,Bennigsenstraße,3,24.02.2025 ES: Laut check24 in Bennigsenstraße 3 kein GF buchbar
10711 Berlin,Johann-Sigismund-Straße,13,24.02.2025 ES: Laut check24 in Johann-Sigismund-Straße 13 kein GF buchbar
10553 Berlin,Erasmusstraße,4,24.02.2025 ES: Laut check24 in Erasmusstraße 4 kein GF buchbar
10785 Berlin,Kurfürstenstraße,44,24.02.2025 ES: Laut check24 in Kurfürstenstraße 44 kein GF buchbar
10785 Berlin,Kurfürstenstraße,42,24.02.2025 ES: Laut check24 in Kurfürstenstraße 42 kein GF buchbar
10785 Berlin,Kurfürstenstraße,41,24.02.2025 ES: Laut check24 in Kurfürstenstraße 41 kein GF buchbar
10785 Berlin,Kurfürstenstraße,45,"24.02.2025 ES: Laut check24 in Kurfürstenstraße 45 GF von vodafone, 1und1, telekom.(verfügbar ab März , verfügbar ab März , verfügbar ab März )"
10785 Berlin,Kurfürstenstraße,45a,24.02.2025 ES: Laut check24 in Kurfürstenstraße 45a kein GF buchbar
10785 Berlin,Kurfürstenstraße,44a,24.02.2025 ES: Laut check24 in Kurfürstenstraße 44a kein GF buchbar
10715 Berlin,Durlacher Straße,29,24.02.2025 ES: Laut check24 in Durlacher Straße 29 kein GF buchbar
10825 Berlin,Erfurter Straße,21,"24.02.2025 ES: Laut check24 in Erfurter Straße 21 GF von vodafone, 1und1, telekom.(verfügbar ab März , verfügbar ab März , verfügbar ab März )"
10825 Berlin,Erfurter Straße,22,"24.02.2025 ES: Laut check24 in Erfurter Straße 22 GF von 1und1, telekom.(verfügbar ab Juli , verfügbar ab Juli )"
10825 Berlin,Nymphenburger Straße,1A,"24.02.2025 ES: Laut check24 in Nymphenburger Straße 1A GF von vodafone, 1und1, telekom.(verfügbar ab Mai , verfügbar ab Mai , verfügbar ab Mai )"
10825 Berlin,Nymphenburger Straße,1,"24.02.2025 ES: Laut check24 in Nymphenburger Straße 1 GF von vodafone, 1und1, telekom.(verfügbar ab März , verfügbar ab März , verfügbar ab März )"
10825 Berlin,Innsbrucker Straße,39,"24.02.2025 ES: Laut check24 in Innsbrucker Straße 39 GF von vodafone, 1und1, telekom.(verfügbar ab März , verfügbar ab März , verfügbar ab März )"
10115 Berlin,Brunnenstraße,45,"24.02.2025 ES: Laut check24 in Brunnenstraße 45 GF von vodafone, 1und1, telekom.(verfügbar ab März , verfügbar ab März , verfügbar ab März )"
13353 Berlin,Kiautschoustraße,1,"24.02.2025 ES: Laut check24 in Kiautschoustraße 1 GF von vodafone, 1und1, telekom.(verfügbar ab April , verfügbar ab April , verfügbar ab April )"
13353 Berlin,Tegeler Straße,38,"24.02.2025 ES: Laut check24 in Tegeler Straße 38 GF von vodafone, 1und1, telekom.(verfügbar ab April , verfügbar ab April , verfügbar ab April )"
10555 Berlin,Zwinglistraße,32,"24.02.2025 ES: Laut check24 in Zwinglistraße 32 GF von 1und1, telekom.(verfügbar ab Juli , verfügbar ab Juli )"
10559 Berlin,Turmstraße,10,"24.02.2025 ES: Laut check24 in Turmstraße 10 GF von 1und1, telekom.(verfügbar ab Juli , verfügbar ab Juli )"
10559 Berlin,Wilsnacker Straße,66,"24.02.2025 ES: Laut check24 in Wilsnacker Straße 66 GF von 1und1, telekom.(verfügbar ab Juli , verfügbar ab Juli )"
12161 Berlin,Südwestkorso,7,"24.02.2025 ES: Laut check24 in Südwestkorso 7 GF von 1und1, telekom.(verfügbar ab Juli , verfügbar ab Juli )"
10823 Berlin,Belziger Straße,41,"24.02.2025 ES: Laut check24 in Belziger Straße 41 GF von vodafone, 1und1, telekom.(verfügbar ab März , verfügbar ab März , verfügbar ab März )"
10825 Berlin,Berchtesgadener Straße,13,24.02.2025 ES: Laut check24 in Berchtesgadener Straße 13 kein GF buchbar
10623 Berlin,Kantstraße,149,24.02.2025 ES: Laut check24 in Kantstraße 149 GF von 1000 Mbit/s Tarif pyur.() buchbar (Kabel oder GF?)
12161 Berlin,Roennebergstraße,13,"24.02.2025 ES: Laut check24 in Roennebergstraße 13 GF von 1und1, telekom.(verfügbar ab Juli , verfügbar ab Juli )"
10115 Berlin,Anklamer Straße,28,"24.02.2025 ES: Laut check24 in Anklamer Straße 28 GF von vodafone, 1und1, telekom.(verfügbar ab März , verfügbar ab März , verfügbar ab März )"
10585 Berlin,Haubachstraße,40,"24.02.2025 ES: Laut check24 in Haubachstraße 40 GF von vodafone, 1und1, telekom.(verfügbar ab März , verfügbar ab März , verfügbar ab März )"
10585 Berlin,Kaiser-Friedrich-Straße,12,"24.02.2025 ES: Laut check24 in Kaiser-Friedrich-Straße 12 GF von vodafone, 1und1, telekom.(verfügbar ab März , verfügbar ab März , verfügbar ab März )"
10585 Berlin,Kaiser-Friedrich-Straße,11,"24.02.2025 ES: Laut check24 in Kaiser-Friedrich-Straße 11 GF von vodafone, 1und1, telekom.(verfügbar ab April , verfügbar ab April , verfügbar ab April )"
12159 Berlin,Evastraße,1,"24.02.2025 ES: Laut check24 in Evastraße 1 GF von vodafone, 1und1, telekom.(verfügbar ab März , verfügbar ab März , verfügbar ab März )"
10585 Berlin,Otto-Suhr-Allee,101,"24.02.2025 ES: Laut check24 in Otto-Suhr-Allee 101 GF von 1und1, telekom.(verfügbar ab Juli , verfügbar ab Juli )"
10585 Berlin,Otto-Suhr-Allee,103,"24.02.2025 ES: Laut check24 in Otto-Suhr-Allee 103 GF von 1und1, telekom.(verfügbar ab Juli , verfügbar ab Juli )"
10551 Berlin,Wilhelmshavener Straße,51,"24.02.2025 ES: Laut check24 in Wilhelmshavener Straße 51 GF von 1und1, telekom.(verfügbar ab Juni , verfügbar ab Juni )"
10825 Berlin,Grunewaldstraße,47,24.02.2025 ES: Laut check24 in Grunewaldstraße 47 kein GF buchbar
10627 Berlin,Kaiser-Friedrich-Straße,34,"24.02.2025 ES: Laut check24 in Kaiser-Friedrich-Straße 34 GF von vodafone, 1und1, telekom.(verfügbar ab März , verfügbar ab März , verfügbar ab März )"
12049 Berlin,Weisestraße,9,24.02.2025 ES: Laut check24 in Weisestraße 9 GF von telekom.(verfügbar ab Juni )
12045 Berlin,Weserstraße,57,24.02.2025 ES: Laut check24 in Weserstraße 57 GF von telekom.(verfügbar ab Juli )
12047 Berlin,Friedelstraße,55,24.02.2025 ES: Laut check24 in Friedelstraße 55 kein GF buchbar
12047 Berlin,Weserstraße,211,24.02.2025 ES: Laut check24 in Weserstraße 211 kein GF buchbar
14059 Berlin,Schloßstraße,29,"24.02.2025 ES: Laut check24 in Schloßstraße 29 GF von vodafone, 1und1, telekom.(verfügbar ab April , verfügbar ab April , verfügbar ab April )"
13353 Berlin,Genter Straße,10,"24.02.2025 ES: Laut check24 in Genter Straße 10 GF von vodafone, 1und1, telekom.(verfügbar ab März , verfügbar ab März , verfügbar ab März )"
14057 Berlin,Suarezstraße,37,"24.02.2025 ES: Laut check24 in Suarezstraße 37 GF von vodafone, 1und1, telekom.(verfügbar ab April , verfügbar ab April , verfügbar ab April )"
12045 Berlin,Weserstraße,46,"24.02.2025 ES: Laut check24 in Weserstraße 46 GF von vodafone, telekom.(verfügbar ab Juli , verfügbar ab Juli )"
12045 Berlin,Weichselstraße,36,24.02.2025 ES: Laut check24 in Weichselstraße 36 GF von 1000 Mbit/s Tarif pyur.() buchbar (Kabel oder GF?)
12045 Berlin,Weichselstraße,35,24.02.2025 ES: Laut check24 in Weichselstraße 35 GF von 1000 Mbit/s Tarif pyur.() buchbar (Kabel oder GF?)
12045 Berlin,Pflügerstraße,40,24.02.2025 ES: Laut check24 in Pflügerstraße 40 GF von 1000 Mbit/s Tarif pyur.() buchbar (Kabel oder GF?)
12045 Berlin,Pflügerstraße,39,24.02.2025 ES: Laut check24 in Pflügerstraße 39 GF von 1000 Mbit/s Tarif pyur.() buchbar (Kabel oder GF?)
10713 Berlin,Wegenerstraße,13,24.02.2025 ES: Laut check24 in Wegenerstraße 13 kein GF buchbar
10713 Berlin,Wegenerstraße,12,24.02.2025 ES: Laut check24 in Wegenerstraße 12 kein GF buchbar
12161 Berlin,Blankenbergstraße,4,24.02.2025 ES: Laut check24 in Blankenbergstraße 4 kein GF buchbar
